Date,Tavg,DewPoint,TSRA,TS,relative_humidity,Cool,wet_bulb_depression,ResultSpeed,NumMosquitos,WnvPresent
2007-05-29,74.0,58,0,0,57,9.0,9.0,5.8,40.0,0.0
2007-06-05,56.0,48,0,0,74,0.0,5.0,5.2,127.0,0.0
2007-06-26,81.0,69,1,0,67,16.0,9.0,6.1,216.0,0.0
2007-06-29,63.0,55,0,0,75,0.0,4.0,7.6,85.0,0.0
2007-07-02,66.0,50,0,0,56,1.0,8.0,5.9,240.0,0.0
2007-07-11,70.0,51,0,0,51,5.0,11.0,8.8,1103.0,0.0
2007-07-18,77.0,68,1,0,74,12.0,6.0,9.1,853.0,1.0
2007-07-19,73.0,63,0,0,71,8.0,7.0,7.0,687.0,0.0
2007-07-25,78.0,61,0,0,56,13.0,11.0,5.8,4069.0,5.0
2007-07-27,77.0,68,0,0,74,12.0,7.0,3.0,247.0,0.0
2007-08-01,81.0,62,0,0,53,16.0,12.0,3.5,6904.0,18.0
2007-08-02,81.0,66,0,0,60,16.0,10.0,5.5,2898.0,3.0
2007-08-03,80.0,56,0,0,44,15.0,14.0,2.7,204.0,0.0
2007-08-07,82.0,73,0,0,74,17.0,6.0,6.2,1780.0,12.0
2007-08-08,80.0,71,1,0,74,15.0,7.0,3.0,4186.0,7.0
2007-08-09,78.0,71,1,0,79,13.0,5.0,2.5,507.0,1.0
2007-08-15,76.0,67,1,0,74,11.0,6.0,3.4,4661.0,37.0
2007-08-16,71.0,64,0,0,79,6.0,4.0,3.6,4555.0,16.0
2007-08-17,70.0,54,0,0,57,5.0,9.0,5.9,1915.0,7.0
2007-08-21,78.0,70,0,0,77,13.0,6.0,3.8,1667.0,32.0
2007-08-22,80.0,71,1,1,74,15.0,7.0,5.3,4512.0,33.0
2007-08-24,75.0,67,1,0,76,10.0,6.0,5.8,1478.0,25.0
2007-08-28,79.0,66,0,0,65,14.0,9.0,9.0,4748.0,9.0
2007-09-04,76.0,60,0,0,58,11.0,10.0,2.8,524.0,8.0
2007-09-05,78.0,63,0,0,60,13.0,9.0,6.4,2021.0,10.0
2007-09-06,78.0,67,0,0,69,13.0,8.0,11.9,1511.0,2.0
2007-09-12,57.0,42,0,0,57,0.0,8.0,1.8,1193.0,5.0
2007-09-18,76.0,58,0,0,54,11.0,11.0,12.9,392.0,0.0
2007-09-19,75.0,59,0,0,58,10.0,10.0,5.0,1756.0,1.0
2007-09-24,79.0,63,0,0,58,14.0,11.0,11.4,1570.0,2.0
2007-09-25,74.0,65,0,1,74,9.0,5.0,7.9,333.0,0.0
2007-10-04,67.0,56,0,0,68,2.0,6.0,3.9,1373.0,2.0
2007-10-09,63.0,44,0,0,50,0.0,10.0,11.5,333.0,0.0
2009-05-28,58.0,51,0,0,77,0.0,4.0,6.8,190.0,0.0
2009-06-02,54.0,46,0,0,74,0.0,4.0,7.4,663.0,0.0
2009-06-03,52.0,39,0,0,61,0.0,6.0,10.5,348.0,0.0
2009-06-05,62.0,44,0,0,52,0.0,8.0,5.8,257.0,0.0
2009-06-12,62.0,49,0,0,62,0.0,7.0,4.4,1204.0,0.0
2009-06-15,67.0,49,0,0,52,2.0,9.0,5.5,345.0,0.0
2009-06-19,76.0,67,1,1,74,11.0,7.0,7.2,701.0,0.0
2009-06-22,79.0,67,1,0,67,14.0,8.0,4.0,2171.0,0.0
2009-06-26,78.0,60,0,0,54,13.0,18.0,6.4,798.0,0.0
2009-06-29,70.0,54,0,0,57,5.0,9.0,12.2,903.0,0.0
2009-07-06,73.0,54,0,0,51,8.0,11.0,7.5,719.0,0.0
2009-07-10,73.0,64,0,0,73,8.0,6.0,4.4,996.0,0.0
2009-07-13,70.0,46,0,0,42,5.0,13.0,4.8,1369.0,0.0
2009-07-17,64.0,51,0,0,63,0.0,8.0,10.6,1893.0,0.0
2009-07-24,72.0,59,1,0,64,7.0,8.0,8.9,1215.0,2.0
2009-07-27,74.0,61,0,0,64,9.0,8.0,9.3,1482.0,2.0
2009-07-31,70.0,54,0,0,57,5.0,9.0,6.2,1159.0,1.0
2009-08-07,69.0,59,0,0,71,4.0,6.0,7.3,878.0,0.0
2009-08-13,73.0,55,0,0,53,8.0,10.0,1.5,602.0,2.0
2009-08-25,71.0,61,0,0,71,6.0,6.0,9.1,691.0,7.0
2009-08-27,64.0,60,0,0,87,0.0,3.0,9.1,175.0,0.0
2009-09-03,66.0,54,0,0,65,1.0,7.0,4.7,129.0,1.0
2009-09-14,71.0,55,0,0,57,6.0,10.0,0.1,563.0,3.0
2009-09-17,61.0,52,0,0,72,0.0,5.0,3.4,743.0,0.0
2009-09-25,65.0,57,0,0,75,0.0,5.0,5.4,702.0,1.0
2009-10-01,50.0,46,0,0,86,0.0,1.0,9.1,212.0,0.0
2011-06-10,60.0,56,0,0,87,0.0,3.0,6.4,429.0,0.0
2011-06-17,71.0,60,0,0,68,6.0,7.0,5.8,830.0,0.0
2011-06-24,64.0,56,0,0,75,0.0,5.0,9.4,846.0,0.0
2011-06-30,74.0,62,0,0,66,9.0,7.0,8.2,1944.0,0.0
2011-07-11,80.0,71,0,0,74,15.0,6.0,5.5,2091.0,0.0
2011-07-15,79.0,60,0,0,52,14.0,13.0,5.4,2497.0,0.0
2011-07-25,81.0,66,0,0,60,16.0,10.0,3.4,2449.0,3.0
2011-07-29,79.0,67,0,0,67,14.0,8.0,4.3,1408.0,8.0
2011-08-05,76.0,68,0,0,76,11.0,5.0,4.0,1065.0,5.0
2011-08-12,71.0,59,0,0,66,6.0,7.0,8.3,824.0,11.0
2011-08-19,76.0,63,0,0,64,11.0,8.0,3.3,589.0,4.0
2011-08-26,71.0,58,0,0,64,6.0,8.0,1.9,490.0,4.0
2011-09-01,82.0,71,0,0,69,17.0,7.0,5.2,319.0,4.0
2011-09-02,84.0,69,0,0,61,19.0,10.0,4.9,551.0,3.0
2011-09-12,75.0,59,0,0,58,10.0,10.0,10.5,734.0,6.0
2011-09-16,52.0,40,0,0,63,0.0,5.0,1.4,821.0,3.0
2011-09-23,55.0,44,0,0,66,0.0,6.0,5.9,728.0,6.0
2011-09-30,51.0,41,0,0,68,0.0,4.0,14.6,184.0,0.0
2013-06-07,60.0,45,0,0,58,0.0,8.0,9.5,360.0,0.0
2013-06-14,67.0,51,0,0,56,2.0,10.0,6.6,1670.0,0.0
2013-06-21,75.0,65,0,0,71,10.0,7.0,7.4,1319.0,0.0
2013-06-27,77.0,67,0,0,71,12.0,7.0,7.2,439.0,0.0
2013-06-28,75.0,61,0,0,62,10.0,9.0,10.5,923.0,1.0
2013-07-08,78.0,71,1,0,79,13.0,4.0,7.8,1833.0,0.0
2013-07-12,71.0,53,0,0,53,6.0,10.0,4.0,4796.0,7.0
2013-07-19,84.0,70,0,1,63,19.0,9.0,13.3,4168.0,15.0
2013-07-25,69.0,54,0,0,59,4.0,8.0,4.1,1974.0,2.0
2013-08-01,71.0,57,0,0,61,6.0,9.0,7.6,2865.0,22.0
2013-08-08,72.0,56,0,0,57,7.0,10.0,8.6,3188.0,34.0
2013-08-15,65.0,53,0,0,65,0.0,7.0,4.2,1946.0,20.0
2013-08-22,73.0,67,0,0,82,8.0,4.0,1.5,2063.0,30.0
2013-08-29,78.0,64,0,0,62,13.0,9.0,3.9,2645.0,38.0
2013-09-06,72.0,58,0,0,61,7.0,8.0,4.7,2510.0,32.0
2013-09-12,72.0,59,0,0,64,7.0,8.0,7.0,2210.0,23.0
2013-09-19,77.0,68,1,1,74,12.0,7.0,8.3,1030.0,11.0
2013-09-26,63.0,52,0,0,67,0.0,5.0,3.8,505.0,4.0
